"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"PERRAULT SYNDROME 1; PRLTS1 ","233400","HSD17B4","hydroxysteroid (17-beta) dehydrogenase 4","3295","601860","FOX2","YKR009C","Fatty acid OXidation","Panther"
"PERRAULT SYNDROME 1; PRLTS1 ","233400","HSD17B4","hydroxysteroid (17-beta) dehydrogenase 4","3295","601860","FOX2","YKR009C","Fatty acid OXidation","TreeFam"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","HMS2","YJR147W","High-copy Mep Suppressor","Panther"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","HSF1","YGL073W","Heat Shock transcription Factor","Ensembl"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","HSF1","YGL073W","Heat Shock transcription Factor","Panther"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","HSF1","YGL073W","Heat Shock transcription Factor","TreeFam"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","MGA1","YGR249W","","Panther"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","SFL1","YOR140W","Suppressor gene for FLocculation","Panther"
"CATARACT 5, MULTIPLE TYPES; CTRCT5 ","116800","HSF4","heat shock transcription factor 4","3299","602438","SKN7","YHR206W","Suppressor of Kre Null","Panther"
"SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 5; DSMA5 ","614881","DNAJB2","DnaJ (Hsp40) homolog, subfamily B, member 2","3300","604139","SIS1","YNL007C","SIt4 Suppressor","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2F; CMT2F ","606595","HSPB1","heat shock 27kDa protein 1","3315","602195","HSP26","YBR072W","Heat Shock Protein","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2F; CMT2F ","606595","HSPB1","heat shock 27kDa protein 1","3315","602195","HSP42","YDR171W","Heat Shock Protein","Panther"
"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIB; HMN2B ","608634","HSPB1","heat shock 27kDa protein 1","3315","602195","HSP26","YBR072W","Heat Shock Protein","Panther"
"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIB; HMN2B ","608634","HSPB1","heat shock 27kDa protein 1","3315","602195","HSP42","YDR171W","Heat Shock Protein","Panther"
"LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4 ","612233","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","Ensembl"
"LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4 ","612233","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","HomoloGene"
"LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4 ","612233","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","Panther"
"LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4 ","612233","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","TreeFam"
"LEUKODYSTROPHY, HYPOMYELINATING, 4; HLD4 ","612233","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","TCM62","YBR044C","TriCarboxylic acid cycle Mutant","Panther"
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13 ","605280","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","Ensembl"
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13 ","605280","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","HomoloGene"
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13 ","605280","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","Panther"
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13 ","605280","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","HSP60","YLR259C","Heat Shock Protein","TreeFam"
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13 ","605280","HSPD1","heat shock 60kDa protein 1 (chaperonin)","3329","118190","TCM62","YBR044C","TriCarboxylic acid cycle Mutant","Panther"
"MIGRAINE, WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 13; MGR13 ","613656","KCNK18","potassium channel, subfamily K, member 18","338567","613655","TOK1","YJL093C","","Panther"
"MICROPHTHALMIA, ISOLATED 2; MCOP2 ","610093","VSX2","visual system homeobox 2","338917","142993","YHP1","YDR451C","Yeast Homeo-Protein","Panther"
"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 3; MCOPCB3 ","610092","VSX2","visual system homeobox 2","338917","142993","YHP1","YDR451C","Yeast Homeo-Protein","Panther"
"MENTAL RETARDATION, X-LINKED 98; MRX98 ","300912","KIAA2022","KIAA2022","340533","300524","POL1","YNL102W","POLymerase","Panther"
"MENTAL RETARDATION, X-LINKED 98; MRX98 ","300912","KIAA2022","KIAA2022","340533","300524","POL3","YDL102W","POLymerase","Panther"
"MENTAL RETARDATION, X-LINKED 98; MRX98 ","300912","KIAA2022","KIAA2022","340533","300524","REV3","YPL167C","REVersionless","Ensembl"
"MENTAL RETARDATION, X-LINKED 98; MRX98 ","300912","KIAA2022","KIAA2022","340533","300524","REV3","YPL167C","REVersionless","Panther"
"FOCAL FACIAL DERMAL DYSPLASIA 4; FFDD4 ","614974","CYP26C1","cytochrome P450, family 26, subfamily C, polypeptide 1","340665","608428","ERG11","YHR007C","ERGosterol biosynthesis","Ensembl"
"FOCAL FACIAL DERMAL DYSPLASIA 4; FFDD4 ","614974","CYP26C1","cytochrome P450, family 26, subfamily C, polypeptide 1","340665","608428","ERG5","YMR015C","ERGosterol biosynthesis","TreeFam"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP1","YDL066W","Isocitrate Dehydrogenase, NADP-specific","Ensembl"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP1","YDL066W","Isocitrate Dehydrogenase, NADP-specific","TreeFam"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP2","YLR174W","Isocitrate Dehydrogenase, NADP-specific","Ensembl"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP2","YLR174W","Isocitrate Dehydrogenase, NADP-specific","HomoloGene"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP2","YLR174W","Isocitrate Dehydrogenase, NADP-specific","TreeFam"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP3","YNL009W","Isocitrate Dehydrogenase, NADP-dependent","Ensembl"
"GLIOMA SUSCEPTIBILITY 1; GLM1 GLIOMA OF BRAIN, FAMILIAL, INCLUDED; GLM, INCLUDED","137800","IDH1","isocitrate dehydrogenase 1 (NADP+), soluble","3417","147700","IDP3","YNL009W","Isocitrate Dehydrogenase, NADP-dependent","TreeFam"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP1","YDL066W","Isocitrate Dehydrogenase, NADP-specific","Ensembl"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP1","YDL066W","Isocitrate Dehydrogenase, NADP-specific","TreeFam"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP2","YLR174W","Isocitrate Dehydrogenase, NADP-specific","Ensembl"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP2","YLR174W","Isocitrate Dehydrogenase, NADP-specific","TreeFam"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP3","YNL009W","Isocitrate Dehydrogenase, NADP-dependent","Ensembl"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP3","YNL009W","Isocitrate Dehydrogenase, NADP-dependent","HomoloGene"
"D-2-HYDROXYGLUTARIC ACIDURIA 2 ","613657","IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial","3418","147650","IDP3","YNL009W","Isocitrate Dehydrogenase, NADP-dependent","TreeFam"
"RETINITIS PIGMENTOSA 46; RP46 ","612572","IDH3B","isocitrate dehydrogenase 3 (NAD+) beta","3420","604526","IDH1","YNL037C","Isocitrate DeHydrogenase","Ensembl"
"RETINITIS PIGMENTOSA 46; RP46 ","612572","IDH3B","isocitrate dehydrogenase 3 (NAD+) beta","3420","604526","IDH1","YNL037C","Isocitrate DeHydrogenase","HomoloGene"
"RETINITIS PIGMENTOSA 46; RP46 ","612572","IDH3B","isocitrate dehydrogenase 3 (NAD+) beta","3420","604526","IDH1","YNL037C","Isocitrate DeHydrogenase","Panther"
"RETINITIS PIGMENTOSA 46; RP46 ","612572","IDH3B","isocitrate dehydrogenase 3 (NAD+) beta","3420","604526","IDH1","YNL037C","Isocitrate DeHydrogenase","TreeFam"
"CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA ","300472","IGBP1","immunoglobulin (CD79A) binding protein 1","3476","300139","TAP42","YMR028W","Two A phosphatase Associated Protein","Ensembl"
"CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA ","300472","IGBP1","immunoglobulin (CD79A) binding protein 1","3476","300139","TAP42","YMR028W","Two A phosphatase Associated Protein","Panther"
"CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA ","300472","IGBP1","immunoglobulin (CD79A) binding protein 1","3476","300139","TAP42","YMR028W","Two A phosphatase Associated Protein","TreeFam"
"POLYMICROGYRIA, SYMMETRIC OR ASYMMETRIC; PMGYSA ","610031","TUBB2B","tubulin, beta 2B class IIb","347733","612850","TUB2","YFL037W","TUBulin","Panther"
"SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1 ","604320","IGHMBP2","immunoglobulin mu binding protein 2","3508","600502","HCS1","YKL017C","dna HeliCaSe","Ensembl"
"SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1 ","604320","IGHMBP2","immunoglobulin mu binding protein 2","3508","600502","HCS1","YKL017C","dna HeliCaSe","HomoloGene"
"SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1 ","604320","IGHMBP2","immunoglobulin mu binding protein 2","3508","600502","HCS1","YKL017C","dna HeliCaSe","Panther"
"ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD ","614723","APRT","adenine phosphoribosyltransferase","353","102600","APT1","YML022W","Adenine PhosphoribosylTransferase","Ensembl"
"ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD ","614723","APRT","adenine phosphoribosyltransferase","353","102600","APT1","YML022W","Adenine PhosphoribosylTransferase","HomoloGene"
"ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD ","614723","APRT","adenine phosphoribosyltransferase","353","102600","APT1","YML022W","Adenine PhosphoribosylTransferase","TreeFam"
"ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD ","614723","APRT","adenine phosphoribosyltransferase","353","102600","APT2","YDR441C","Adenine PhosphoribosylTransferase","Ensembl"
"ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD ","614723","APRT","adenine phosphoribosyltransferase","353","102600","APT2","YDR441C","Adenine PhosphoribosylTransferase","TreeFam"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","AQY1","YPR192W","AQuaporin of Yeast","Ensembl"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","AQY1","YPR192W","AQuaporin of Yeast","Panther"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","AQY2","YLL052C","AQuaporin of Yeast","Ensembl"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","AQY2","YLL052C","AQuaporin of Yeast","Panther"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","","YLL053C","","Ensembl"
"BLOOD GROUP--COLTON; CO ","110450","AQP1","aquaporin 1","358","107776","","YLL053C","","Panther"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","AQY1","YPR192W","AQuaporin of Yeast","Ensembl"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","AQY1","YPR192W","AQuaporin of Yeast","Panther"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","AQY1","YPR192W","AQuaporin of Yeast","TreeFam"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","AQY2","YLL052C","AQuaporin of Yeast","Ensembl"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","AQY2","YLL052C","AQuaporin of Yeast","Panther"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","","YLL053C","","Ensembl"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","","YLL053C","","Panther"
"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL ","125800","AQP2","aquaporin 2 (collecting duct)","359","107777","","YLL053C","","TreeFam"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","AQY1","YPR192W","AQuaporin of Yeast","Panther"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","AQY2","YLL052C","AQuaporin of Yeast","Panther"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","FPS1","YLL043W","fdp1 Suppressor","Panther"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","FPS1","YLL043W","fdp1 Suppressor","TreeFam"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","","YFL054C","","Ensembl"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","","YFL054C","","HomoloGene"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","","YFL054C","","Panther"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","","YFL054C","","TreeFam"
"GIL BLOOD GROUP ","607457","AQP3","aquaporin 3 (Gill blood group)","360","600170","","YLL053C","","Panther"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","Ensembl"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","HomoloGene"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","Panther"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","TreeFam"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","Ensembl"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","HomoloGene"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","Panther"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","TreeFam"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","Ensembl"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","HomoloGene"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","Panther"
"LEBER CONGENITAL AMAUROSIS 11; LCA11 ","613837","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","TreeFam"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","Ensembl"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","HomoloGene"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","Panther"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD2","YHR216W","IMP Dehydrogenase","TreeFam"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","Ensembl"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","HomoloGene"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","Panther"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD3","YLR432W","IMP Dehydrogenase","TreeFam"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","Ensembl"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","HomoloGene"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","Panther"
"RETINITIS PIGMENTOSA 10; RP10 ","180105","IMPDH1","IMP (inosine 5'-monophosphate) dehydrogenase 1","3614","146690","IMD4","YML056C","IMP Dehydrogenase","TreeFam"
"PALMOPLANTAR KERATODERMA, BOTHNIAN TYPE; PPKB ","600231","AQP5","aquaporin 5","362","600442","AQY1","YPR192W","AQuaporin of Yeast","HomoloGene"
"PALMOPLANTAR KERATODERMA, BOTHNIAN TYPE; PPKB ","600231","AQP5","aquaporin 5","362","600442","AQY1","YPR192W","AQuaporin of Yeast","TreeFam"
"PALMOPLANTAR KERATODERMA, BOTHNIAN TYPE; PPKB ","600231","AQP5","aquaporin 5","362","600442","","YLL053C","","TreeFam"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","PHO23","YNL097C","PHOsphate metabolism","Ensembl"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","PHO23","YNL097C","PHOsphate metabolism","HomoloGene"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","PHO23","YNL097C","PHOsphate metabolism","Panther"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","PHO23","YNL097C","PHOsphate metabolism","TreeFam"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","YNG1","YOR064C","Yeast iNG1 homolog","Panther"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","YNG1","YOR064C","Yeast iNG1 homolog","TreeFam"
"SQUAMOUS CELL CARCINOMA, HEAD AND NECK; HNSCC ","275355","ING1","inhibitor of growth family, member 1","3621","601566","YNG2","YHR090C","Yeast iNG1 homolog","Panther"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","AQY1","YPR192W","AQuaporin of Yeast","Panther"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","AQY2","YLL052C","AQuaporin of Yeast","Panther"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","FPS1","YLL043W","fdp1 Suppressor","Panther"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","FPS1","YLL043W","fdp1 Suppressor","TreeFam"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","","YFL054C","","Ensembl"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","","YFL054C","","Panther"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","","YFL054C","","TreeFam"
"GLYCEROL QUANTITATIVE TRAIT LOCUS; GLYCQTL ","614411","AQP7","aquaporin 7","364","602974","","YLL053C","","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","PDX1","pancreatic and duodenal homeobox 1","3651","600733","PHO2","YDL106C","PHOsphate metabolism","Panther"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","PDX1","pancreatic and duodenal homeobox 1","3651","600733","YOX1","YML027W","Yeast homeobOX","Panther"
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4; MODY4 ","606392","PDX1","pancreatic and duodenal homeobox 1","3651","600733","PHO2","YDL106C","PHOsphate metabolism","Panther"
"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4; MODY4 ","606392","PDX1","pancreatic and duodenal homeobox 1","3651","600733","YOX1","YML027W","Yeast homeobOX","Panther"
"PANCREATIC AGENESIS, CONGENITAL; PAGEN ","260370","PDX1","pancreatic and duodenal homeobox 1","3651","600733","PHO2","YDL106C","PHOsphate metabolism","Panther"
"PANCREATIC AGENESIS, CONGENITAL; PAGEN ","260370","PDX1","pancreatic and duodenal homeobox 1","3651","600733","YOX1","YML027W","Yeast homeobOX","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","BPT1","YLL015W","Bile Pigment Transporter","TreeFam"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","NFT1","YKR103W","New Full-length MRP-type Transporter","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","STE6","YKL209C","STErile","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","VMR1","YHL035C","Vacuolar Multidrug Resistance","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YBT1","YLL048C","Yeast Bile Transporter","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","Panther"
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2; GACI2 ","614473","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","368","603234","YCF1","YDR135C","Yeast Cadmium Factor","TreeFam"
