orf	gene	go_process	go_function	go_component	essential	het_ypd_A	het_ypd_B	HET_AV	slow_ypd_het	hom_ypd_C	hom_ypd_D	HOM_AV	slow_ypd_hom	het_mm_B	slow_mm_het	hom_mm_D	slow_mm_hom
YLR093C  	NYV1      	nonselective vesicle fusion	v-SNARE activity	vacuolar membrane	NO	1.009	ND	1.009	no	0.984	1.012	0.993	no	ND	no	1.022	NO
YLR094C  	GIS3      	intracellular signaling cascade	molecular_function unknown	cytoplasm*	NO	0.961	0.979	0.970	no	1.016	1.016	1.016	no	0.978	no	1.034	NO
YLR095C  	IOC2      	chromatin remodeling	protein binding	nucleus	NO	0.993	1.000	0.997	no	1.009	1.011	1.010	no	0.988	no	1.041	NO
YLR096W  	KIN2      	biological_process unknown	protein kinase activity	membrane fraction	NO	1.003	0.991	0.997	no	0.970	1.010	0.983	no	0.996	no	1.030	NO
YLR097C  	YLR097C   	ubiquitin-dependent protein catabolism	ubiquitin-protein ligase activity	nuclear ubiquitin ligase complex	NO	0.969	0.993	0.981	no	1.011	1.018	1.015	no	0.989	no	1.036	NO
YLR098C  	CHA4      	"regulation of transcription, DNA-dependent*"	transcription factor activity	nucleus	NO	0.983	0.994	0.988	no	0.999	1.001	1.000	no	0.983	no	1.054	NO
YLR099C  	ICT1      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.998	0.987	0.993	no	0.988	1.000	0.994	no	1.004	no	1.029	NO
YLR100W  	ERG27     	ergosterol biosynthesis	3-keto sterol reductase activity	endoplasmic reticulum*	YES	0.974	0.998	0.986	no	ND	ND	ND	Essential	1.004	no	ND	Essential
YLR101C  	YLR101C   				YES	0.989	1.000	0.995	no	ND	ND	ND	Essential	0.991	no	ND	Essential
YLR102C  	APC9      	ubiquitin-dependent protein catabolism*	protein binding*	anaphase-promoting complex	NO	0.970	0.996	0.983	no	1.010	1.014	1.012	no	0.988	no	1.049	NO
YLR103C  	CDC45     	DNA replication initiation*	DNA binding	replication fork*	YES	0.974	1.001	0.987	no	ND	ND	ND	Essential	1.000	no	ND	Essential
YLR104W  	YLR104W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.982	0.994	0.987	no	1.013	1.018	1.015	no	0.994	no	1.026	NO
YLR105C  	SEN2      	tRNA splicing	tRNA-intron endonuclease activity	nuclear inner membrane*	YES	ND	ND	ND	no	ND	ND	ND	Essential	ND	no	ND	Essential
YLR106C  	YLR106C   	rRNA processing*	ATPase activity	nucleus	YES	1.001	1.002	1.001	no	ND	ND	ND	Essential	0.999	no	ND	Essential
YLR107W  	REX3      	RNA processing	3'-5' exonuclease activity	cytoplasm*	NO	0.982	0.998	0.987	no	0.996	1.025	1.011	no	1.011	no	1.007	NO
YLR108C  	YLR108C   	biological_process unknown	molecular_function unknown	nucleus	NO	0.978	1.003	0.990	no	1.005	1.027	1.016	no	0.994	no	1.044	NO
YLR109W  	AHP1      	regulation of cell redox homeostasis*	thioredoxin peroxidase activity	cytoplasm	NO	1.002	0.993	0.998	no	1.008	1.013	1.010	no	0.998	no	1.031	NO
YLR110C  	YLR110C   	cell wall organization and biogenesis*	molecular_function unknown	cell wall (sensu Fungi)	NO	0.980	0.999	0.990	no	0.921	0.916	0.918	yes	1.008	no	1.008	NO
YLR111W  	YLR111W   				NO	0.983	0.995	0.989	no	0.941	0.911	0.926	no	0.986	no	1.004	NO
YLR112W  	YLR112W   				NO	0.997	0.994	0.996	no	1.020	1.015	1.018	no	0.977	no	1.024	NO
YLR113W  	HOG1      	protein amino acid phosphorylation*	MAP kinase activity	cytoplasm*	NO	0.992	1.008	1.000	no	1.011	1.002	1.006	no	0.977	no	1.010	NO
YLR114C  	EFR4      	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.975	1.000	0.988	no	1.009	1.007	1.008	no	0.991	no	1.026	NO
YLR115W  	CFT2      	mRNA polyadenylation*	cleavage/polyadenylation specificity factor activity	mRNA cleavage and polyadenylation specificity factor complex*	YES	0.956	0.975	0.962	yes	ND	ND	ND	Essential	0.993	no	ND	Essential
YLR116W  	MSL5      	"nuclear mRNA splicing, via spliceosome"	RNA binding	commitment complex	YES	ND	ND	ND	no	ND	ND	ND	Essential	ND	no	ND	Essential
YLR117C  	CLF1      	"nuclear mRNA splicing, via spliceosome*"	molecular_function unknown	spliceosome complex	YES	0.967	ND	0.967	no	ND	ND	ND	Essential	ND	no	ND	Essential
YLR118C  	YLR118C   	biological_process unknown	"hydrolase activity, acting on ester bonds"	cytoplasm*	NO	ND	ND	ND	no	0.990	1.010	0.999	no	ND	no	1.024	NO
YLR119W  	SRN2      	protein-vacuolar targeting*	molecular_function unknown	endosome	NO	0.997	0.999	0.998	no	0.986	0.976	0.981	no	0.996	no	0.958	NO
YLR120C  	YPS1      	protein processing	aspartic-type endopeptidase activity	cell wall (sensu Fungi)	NO	1.009	1.004	1.006	no	1.016	1.013	1.015	no	0.975	no	1.036	NO
YLR121C  	YPS3      	protein metabolism	aspartic-type endopeptidase activity	plasma membrane	NO	0.993	1.007	1.000	no	1.010	1.014	1.012	no	0.977	no	1.034	NO
YLR122C  	YLR122C   				NO	1.010	1.000	1.005	no	1.015	1.019	1.017	no	0.987	no	1.076	NO
YLR123C  	YLR123C   				NO	1.004	1.006	1.005	no	1.011	1.012	1.012	no	0.983	no	1.032	NO
YLR124W  	YLR124W   				NO	0.978	ND	0.978	no	0.999	1.015	1.007	no	ND	no	1.030	NO
YLR125W  	YLR125W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	ND	ND	ND	no	0.963	1.015	0.989	no	ND	no	1.042	NO
YLR126C  	YLR126C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.981	1.012	0.997	no	1.010	1.013	1.012	no	1.020	no	1.033	NO
YLR127C  	APC2      	ubiquitin-dependent protein catabolism*	protein binding*	anaphase-promoting complex	YES	0.974	0.997	0.985	no	ND	ND	ND	Essential	1.024	no	ND	Essential
YLR128W  	YLR128W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.996	0.993	0.994	no	1.002	1.012	1.007	no	1.034	no	1.022	NO
YLR129W  	DIP2      	processing of 20S pre-rRNA	snoRNA binding	small nucleolar ribonucleoprotein complex	YES	0.975	0.981	0.978	no	ND	ND	ND	Essential	0.997	no	ND	Essential
YLR130C  	ZRT2      	low-affinity zinc ion transport	low-affinity zinc ion transporter activity	plasma membrane	NO	0.999	1.012	1.005	no	1.003	1.016	1.009	no	1.026	no	1.035	NO
YLR131C  	ACE2      	G1-specific transcription in mitotic cell cycle	transcriptional activator activity	nucleus*	NO	1.008	1.008	1.008	no	0.893	0.981	0.937	no	1.012	no	1.039	NO
YLR132C  	YLR132C   	"nuclear mRNA splicing, via spliceosome*"	molecular_function unknown	cytoplasm*	YES	1.008	1.008	1.008	no	ND	ND	ND	Essential	1.026	no	ND	Essential
YLR133W  	CKI1      	phosphatidylcholine biosynthesis	choline kinase activity	cytosol	NO	0.969	ND	0.969	no	0.981	1.025	0.999	no	ND	no	1.024	NO
YLR134W  	PDC5      	pyruvate metabolism*	pyruvate decarboxylase activity	cytoplasm*	NO	ND	ND	ND	no	0.980	1.017	0.998	no	ND	no	1.028	NO
YLR135W  	YLR135W   	DNA replication	molecular_function unknown	nucleus	NO	0.993	1.002	0.998	no	1.003	1.018	1.010	no	1.021	no	1.028	NO
YLR136C  	TIS11     	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.993	1.011	1.002	no	1.012	1.006	1.009	no	1.016	no	1.028	NO
YLR137W  	YLR137W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.996	1.013	1.004	no	1.006	1.018	1.012	no	1.009	no	1.031	NO
YLR138W  	NHA1      	monovalent inorganic cation homeostasis	cation:cation antiporter activity	plasma membrane	NO	0.975	1.012	0.993	no	1.019	1.018	1.018	no	1.040	no	1.071	NO
YLR139C  	SLS1      	protein biosynthesis*	molecular_function unknown	mitochondrial inner membrane*	NO	0.987	0.999	0.993	no	0.848	0.764	0.806	yes	1.021	no	0.828	YES
YLR140W  	YLR140W   				YES	0.992	1.018	1.005	no	ND	ND	ND	Essential	1.024	no	ND	Essential
YLR141W  	RRN5      	transcription from Pol I promoter	RNA polymerase I transcription factor activity*	RNA polymerase I upstream activating factor complex	YES	0.992	1.005	0.999	no	ND	ND	ND	Essential	0.999	no	ND	Essential
YLR142W  	put1      	glutamate biosynthesis*	proline dehydrogenase activity	mitochondrion	NO	0.995	1.012	1.003	no	1.020	1.020	1.020	no	1.021	no	1.035	NO
YLR143W  	YLR143W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.988	1.001	0.994	no	0.958	0.971	0.965	yes	1.025	no	1.034	NO
YLR144C  	ACF2      	actin cytoskeleton organization and biogenesis	"glucan 1,3-beta-glucosidase activity"	intracellular	NO	0.982	1.012	0.997	no	1.002	1.013	1.008	no	0.984	no	1.004	NO
YLR145W  	YLR145W   	biological_process unknown	molecular_function unknown	cytoplasm*	YES	0.983	1.003	0.993	no	ND	ND	ND	Essential	1.018	no	ND	Essential
YLR146C  	SPE4      	pantothenate biosynthesis*	spermine synthase activity	cytoplasm	NO	0.998	1.001	1.000	no	1.011	1.019	1.015	no	1.000	no	1.047	NO
YLR147C  	SMD3      	"nuclear mRNA splicing, via spliceosome"	pre-mRNA splicing factor activity*	small nuclear ribonucleoprotein complex*	YES	0.977	0.999	0.988	no	ND	ND	ND	Essential	1.027	no	ND	Essential
YLR148W  	pep3      	late endosome to vacuole transport*	protein binding	vacuolar membrane (sensu Fungi)*	NO	0.976	1.001	0.987	no	0.906	0.833	0.875	yes	1.024	no	0.783	YES
YLR149C  	YLR149C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.004	1.007	1.005	no	0.830	0.747	0.789	yes	1.026	no	0.818	YES
YLR150W  	STM1      	telomere maintenance*	telomeric DNA binding	cytoplasm*	NO	0.984	0.982	0.983	no	0.986	0.995	0.990	no	1.012	no	1.001	NO
YLR151C  	PCD1      	biological_process unknown	pyrophosphatase activity	peroxisome	NO	0.992	1.001	0.996	no	1.014	1.019	1.016	no	1.019	no	1.039	NO
YLR152C  	YLR152C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.989	1.011	1.000	no	1.010	1.021	1.016	no	1.003	no	1.023	NO
YLR153C  	ACS2      	acetyl-CoA biosynthesis	acetate-CoA ligase activity	cytosol	YES	0.995	1.005	0.999	no	ND	ND	ND	Essential	1.007	no	ND	Essential
YLR154C  	YLR154C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.997	1.007	1.002	no	1.005	1.007	1.006	no	1.007	no	1.031	NO
YLR163C  	MAS1      	mitochondrial processing	mitochondrial processing peptidase activity	mitochondrial processing peptidase complex	YES	0.986	1.005	0.995	no	ND	ND	ND	Essential	1.028	no	ND	Essential
YLR164W  	YLR164W   	biological_process unknown	molecular_function unknown	mitochondrial inner membrane	NO	0.993	1.001	0.997	no	1.003	1.024	1.014	no	1.010	no	1.037	NO
YLR165C  	YLR165C   	rRNA modification*	pseudouridylate synthase activity	mitochondrion	NO	0.974	1.006	0.990	no	0.996	1.025	1.011	no	1.029	no	1.052	NO
YLR166C  	SEC10     	establishment of cell polarity (sensu Saccharomyces)*	protein binding	actin cap (sensu Saccharomyces)*	YES	0.995	1.002	0.999	no	ND	ND	ND	Essential	1.020	no	ND	Essential
YLR167W  	RPS31     	protein biosynthesis*	structural constituent of ribosome*	cytoplasm*	YES	0.966	0.980	0.973	yes	ND	ND	ND	Essential	1.006	no	ND	Essential
YLR168C  	MSF1'     	biological_process unknown	molecular_function unknown	mitochondrion	NO	0.902	1.007	0.955	no	0.917	0.989	0.948	no	1.011	no	1.013	NO
YLR169W  	YLR169W   				NO	1.002	1.010	1.006	no	0.987	1.008	0.997	no	1.013	no	1.021	NO
YLR170C  	APS1      	vesicle-mediated transport	clathrin binding	AP-1 adaptor complex	NO	0.988	1.009	0.999	no	1.006	1.016	1.011	no	1.022	no	1.039	NO
YLR171W  	YLR171W   				NO	1.005	1.009	1.007	no	1.012	1.012	1.012	no	1.014	no	1.036	NO
YLR172C  	DPH5      	peptidyl-diphthamide biosynthesis from peptidyl-histidine	diphthine synthase activity	cytoplasm	NO	0.998	1.013	1.005	no	0.986	0.990	0.988	no	1.011	no	1.008	NO
YLR173W  	YLR173W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.987	1.013	1.000	no	1.008	1.022	1.015	no	1.019	no	1.045	NO
YLR174W  	IDP2      	glutamate biosynthesis*	isocitrate dehydrogenase (NADP) activity	cytosol	NO	0.997	0.987	0.992	no	0.994	0.998	0.996	no	1.020	no	1.016	NO
YLR175W  	CBF5      	rRNA modification*	pseudouridylate synthase activity	small nucleolar ribonucleoprotein complex	YES	0.987	1.014	1.000	no	ND	ND	ND	Essential	1.021	no	ND	Essential
YLR176C  	RFX1      	negative regulation of transcription from Pol II promoter*	specific transcriptional repressor activity	cytoplasm*	NO	0.984	1.004	0.993	no	0.983	0.997	0.990	no	1.007	no	1.033	NO
YLR177W  	YLR177W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.984	0.990	0.987	no	1.016	1.000	1.008	no	1.004	no	1.032	NO
YLR178C  	tfs1      	regulation of proteolysis and peptidolysis	lipid binding*	soluble fraction	NO	1.004	1.006	1.005	no	1.008	1.012	1.010	no	1.015	no	1.001	NO
YLR179C  	YLR179C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.995	1.004	0.999	no	1.008	1.004	1.006	no	1.015	no	1.031	NO
YLR180W  	sam1      	methionine metabolism	methionine adenosyltransferase activity	cytoplasm	NO	0.986	1.005	0.996	no	0.968	0.987	0.978	no	1.012	no	1.037	NO
YLR181C  	YLR181C   	late endosome to vacuole transport	molecular_function unknown	endosome	NO	0.999	1.005	1.002	no	1.010	0.999	1.005	no	1.030	no	1.006	NO
YLR182W  	SWI6      	meiosis*	protein binding*	cytoplasm*	NO	0.994	1.003	0.998	no	0.883	0.847	0.865	yes	1.018	no	0.752	YES
YLR183C  	TOS4      	biological_process unknown	transcription factor activity	cytoplasm*	NO	1.001	1.003	1.002	no	1.017	1.015	1.016	no	1.013	no	1.054	NO
YLR184W  	YLR184W   				NO	0.985	0.963	0.974	no	0.835	0.748	0.800	no	1.003	no	0.945	YES
YLR185W  	RPL37A    	protein biosynthesis	structural constituent of ribosome	cytosolic large ribosomal subunit (sensu Eukarya)	NO	0.960	0.970	0.965	yes	0.815	0.790	0.802	yes	1.011	no	0.932	YES
YLR186W  	YLR186W   	processing of 20S pre-rRNA*	snoRNA binding	cytoplasm*	YES	0.992	0.998	0.995	no	ND	ND	ND	Essential	1.013	no	ND	Essential
YLR187W  	YLR187W   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	1.009	1.008	1.009	no	1.014	1.010	1.012	no	1.010	no	1.030	NO
YLR188W  	MDL1      	oligopeptide transport	ATPase activity*	mitochondrial inner membrane	NO	1.001	1.018	1.008	no	1.019	1.012	1.016	no	1.011	no	1.028	NO
YLR189C  	UGT51     	sterol metabolism	sterol 3-beta-glucosyltransferase activity	cytoplasm	NO	0.994	1.010	1.001	no	1.008	1.007	1.008	no	1.018	no	1.021	NO
YLR190W  	YLR190W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.984	1.013	0.994	no	0.918	0.948	0.933	yes	0.982	no	1.010	NO
YLR191W  	PEX13     	peroxisome organization and biogenesis*	protein binding	peroxisomal membrane	NO	0.977	1.006	0.991	no	0.992	0.983	0.987	no	1.013	no	1.018	NO
YLR192C  	HCR1      	protein biosynthesis*	translation initiation factor activity*	eukaryotic translation initiation factor 3 complex	NO	0.973	1.007	0.990	no	0.816	0.815	0.816	yes	1.025	no	0.844	YES
YLR193C  	YLR193C   	biological_process unknown	molecular_function unknown	mitochondrion	NO	0.989	0.989	0.989	no	0.834	0.856	0.845	yes	1.010	no	1.006	NO
YLR194C  	YLR194C   	biological_process unknown	molecular_function unknown	cell wall (sensu Fungi)	NO	0.888	1.004	0.965	no	0.997	1.013	1.005	no	0.995	no	1.030	NO
YLR195C  	nmt1      	N-terminal peptidyl-glycine N-myristoylation	glycylpeptide N-tetradecanoyltransferase activity	cytosol	YES	0.998	ND	0.998	no	ND	ND	ND	Essential	ND	no	ND	Essential
YLR196W  	PWP1      	biological_process unknown	molecular_function unknown	cytoplasm*	YES	0.975	1.001	0.988	no	ND	ND	ND	Essential	1.017	no	ND	Essential
YLR197W  	SIK1      	rRNA modification*	molecular_function unknown	nucleus*	YES	0.956	0.967	0.961	yes	ND	ND	ND	Essential	0.836	no	ND	Essential
YLR198C  	YLR198C   				YES	0.976	0.980	0.978	no	ND	ND	ND	Essential	1.011	no	ND	Essential
YLR199C  	YLR199C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.006	1.007	1.007	no	1.016	0.999	1.008	no	0.991	no	1.017	NO
YLR200W  	YKE2      	protein folding*	tubulin binding	cytoplasm*	NO	1.008	1.013	1.010	no	0.858	0.859	0.859	yes	1.017	no	0.953	NO
YLR201C  	YLR201C   	biological_process unknown	molecular_function unknown	mitochondrion	NO	0.993	1.004	0.998	no	0.886	0.964	0.925	yes	1.010	no	0.944	YES
YLR202C  	YLR202C   				NO	0.995	ND	0.995	no	0.912	0.946	0.929	no	ND	no	0.897	YES
YLR203C  	mss51     	protein biosynthesis*	molecular_function unknown	mitochondrion	NO	0.997	1.011	1.004	no	0.930	0.971	0.950	yes	0.994	no	0.916	YES
YLR204W  	QRI5      	biological_process unknown	molecular_function unknown	mitochondrion	NO	1.013	1.014	1.013	no	0.978	0.980	0.979	no	1.001	no	0.990	NO
YLR205C  	YLR205C   	iron ion homeostasis	peroxidase activity*	membrane	NO	0.991	1.009	1.000	no	1.015	1.001	1.008	no	1.007	no	1.018	NO
YLR206W  	ENT2      	actin filament organization*	cytoskeletal adaptor activity	actin cortical patch (sensu Saccharomyces)	NO	1.001	1.004	1.003	no	1.018	1.006	1.012	no	0.995	no	1.019	NO
YLR207W  	HRD3      	ER-associated protein catabolism	ubiquitin-protein ligase activity	endoplasmic reticulum	NO	0.986	1.008	0.997	no	1.022	1.008	1.015	no	1.009	no	1.018	NO
YLR208W  	SEC13     	ER to Golgi transport*	molecular_function unknown	cytoplasm*	YES	0.990	1.002	0.996	no	ND	ND	ND	Essential	1.009	no	ND	Essential
YLR209C  	PNP1      	purine nucleoside catabolism	purine-nucleoside phosphorylase activity	cellular_component unknown	NO	0.970	1.010	0.990	no	1.019	1.006	1.012	no	1.014	no	1.016	NO
YLR210W  	CLB4      	G1/S transition of mitotic cell cycle*	cyclin-dependent protein kinase regulator activity	nucleus*	NO	1.015	1.012	1.013	no	1.022	0.997	1.011	no	ND	no	1.031	NO
YLR211C  	YLR211C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.978	1.009	0.994	no	1.020	1.010	1.015	no	0.999	no	1.029	NO
YLR212C  	TUB4      	microtubule nucleation*	structural constituent of cytoskeleton	outer plaque of spindle pole body*	YES	0.991	0.990	0.990	no	ND	ND	ND	Essential	0.994	no	ND	Essential
YLR213C  	CRR1      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.976	1.011	0.993	no	1.018	1.002	1.010	no	1.018	no	1.037	NO
YLR214W  	FRE1      	iron ion transport*	ferric-chelate reductase activity	plasma membrane	NO	0.996	0.999	0.998	no	1.019	1.013	1.016	no	1.013	no	1.016	NO
YLR215C  	CDC123    	biological_process unknown	molecular_function unknown	cytoplasm	YES	0.989	1.017	1.003	no	ND	ND	ND	Essential	1.003	no	ND	Essential
YLR216C  	CPR6      	protein folding	chaperone activity*	cytoplasm	NO	1.001	1.005	1.003	no	0.983	0.989	0.986	no	0.998	no	0.964	NO
YLR217W  	YLR217W   				NO	1.009	1.005	1.007	no	0.988	0.981	0.984	no	1.007	no	0.971	NO
YLR218C  	YLR218C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.991	1.012	1.001	no	1.009	1.000	1.004	no	1.015	no	0.988	NO
YLR219W  	YLR219W   	meiotic recombination	molecular_function unknown	cellular_component unknown	NO	0.997	1.010	1.003	no	1.019	1.010	1.015	no	1.012	no	1.021	NO
YLR220W  	CCC1      	iron ion homeostasis*	molecular_function unknown	Golgi apparatus*	NO	1.005	1.008	1.007	no	1.023	0.998	1.011	no	1.020	no	0.998	NO
YLR221C  	YLR221C   	biological_process unknown	molecular_function unknown	nucleolus	NO	1.003	1.004	1.003	no	0.986	0.983	0.985	no	1.006	no	1.015	NO
YLR222C  	YLR222C   	processing of 20S pre-rRNA	snoRNA binding	small nucleolar ribonucleoprotein complex	YES	0.955	0.962	0.958	yes	ND	ND	ND	Essential	1.021	no	ND	Essential
YLR223C  	IFH1      	rRNA processing*	molecular_function unknown	nucleus	YES	1.002	1.007	1.004	no	ND	ND	ND	Essential	1.006	no	ND	Essential
YLR224W  	YLR224W   	ubiquitin-dependent protein catabolism	protein binding	ubiquitin ligase complex	NO	0.993	1.010	1.002	no	1.015	1.009	1.012	no	1.022	no	1.017	NO
YLR225C  	YLR225C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.965	0.964	0.964	no	1.016	1.015	1.015	no	1.012	no	1.027	NO
YLR226W  	BUR2      	transcription*	cyclin-dependent protein kinase regulator activity	nucleus	NO	0.989	1.012	1.001	no	0.969	0.922	0.945	yes	1.013	no	0.864	YES
YLR227C  	YLR227C   	sporulation	structural molecule activity	spindle pole body	NO	1.004	1.004	1.004	no	1.028	1.006	1.017	no	0.996	no	1.032	NO
YLR228C  	ECM22     	sterol biosynthesis	RNA polymerase II transcription factor activity	nucleus	NO	0.992	0.981	0.987	no	1.014	1.013	1.014	no	0.972	no	1.005	NO
YLR229C  	cdc42     	establishment of cell polarity (sensu Saccharomyces)*	signal transducer activity*	plasma membrane*	YES	ND	ND	ND	no	ND	ND	ND	Essential	ND	no	ND	Essential
YLR230W  	YLR230W   				YES	1.005	1.005	1.005	no	ND	ND	ND	Essential	0.975	no	ND	Essential
YLR231C  	YLR231C   	nicotinamide adenine dinucleotide biosynthesis	kynureninase activity	cytoplasm*	NO	0.994	1.015	1.002	no	1.025	1.003	1.014	no	0.979	no	1.013	NO
YLR232W  	YLR232W   				NO	0.998	0.981	0.985	no	0.977	0.989	0.982	no	0.966	no	1.017	NO
YLR233C  	EST1      	telomerase-dependent telomere maintenance	RNA binding*	nucleus*	NO	1.005	0.990	0.996	no	0.886	0.896	0.891	yes	0.950	no	0.781	YES
YLR234W  	top3      	meiotic recombination*	DNA topoisomerase type I activity	nucleus	NO	1.000	1.011	1.005	no	0.971	0.943	0.960	yes	0.961	no	0.830	YES
YLR235C  	YLR235C   				NO	0.982	1.008	0.988	no	0.927	0.861	0.894	no	0.978	no	0.732	YES
YLR236C  	YLR236C   				NO	0.998	0.993	0.995	no	1.012	0.994	1.004	no	0.962	no	1.026	NO
YLR237W  	THI7      	thiamin transport	thiamin transporter activity	plasma membrane	NO	0.996	1.010	1.003	no	1.006	1.018	1.011	no	1.010	no	0.984	NO
YLR238W  	YLR238W   	cell cycle arrest in response to pheromone	molecular_function unknown	endoplasmic reticulum	NO	0.990	0.994	0.992	no	0.986	0.987	0.986	no	0.993	no	1.015	NO
YLR239C  	YLR239C   	protein-lipoylation	ligase activity	mitochondrion	NO	1.014	1.007	1.010	no	0.960	0.837	0.919	yes	0.965	no	0.876	YES
YLR240W  	vps34     	protein amino acid phosphorylation*	protein kinase activity*	membrane fraction	NO	0.993	0.998	0.995	no	0.878	0.823	0.850	yes	0.984	no	0.746	YES
YLR241W  	YLR241W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.997	1.005	1.000	no	1.019	1.010	1.014	no	0.992	no	1.025	NO
YLR242C  	ARV1      	sterol transport*	molecular_function unknown	endoplasmic reticulum*	NO	0.972	1.002	0.987	no	0.879	0.927	0.903	yes	0.986	no	0.831	YES
YLR243W  	YLR243W   	biological_process unknown	molecular_function unknown	cellular_component unknown	YES	0.983	0.995	0.989	no	ND	ND	ND	Essential	0.995	no	ND	Essential
YLR244C  	MAP1      	proteolysis and peptidolysis	methionyl aminopeptidase activity	cytosolic ribosome (sensu Eukarya)	NO	1.017	1.005	1.010	no	0.903	0.879	0.891	yes	0.947	no	0.819	YES
YLR246W  	ERF2      	protein-membrane targeting*	palmitoyltransferase activity	integral to endoplasmic reticulum membrane	NO	0.983	1.004	0.994	no	1.010	1.007	1.008	no	0.997	no	1.029	NO
YLR247C  	YLR247C   	biological_process unknown	helicase activity	nucleus	NO	0.987	1.005	0.996	no	1.019	1.008	1.014	no	0.963	no	1.035	NO
YLR248W  	RCK2      	protein amino acid phosphorylation*	protein serine/threonine kinase activity	cytoplasm	NO	0.985	1.006	0.994	no	1.013	1.010	1.012	no	0.982	no	1.035	NO
YLR249W  	yef3      	translational elongation	translation elongation factor activity	ribosome	YES	0.980	0.974	0.977	yes	ND	ND	ND	Essential	0.961	no	ND	Essential
YLR250W  	SSP120    	protein secretion	molecular_function unknown	cytoplasm	NO	0.985	1.000	0.993	no	1.009	1.000	1.005	no	0.972	no	1.016	NO
YLR251W  	YLR251W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	ND	ND	ND	no	ND	ND	ND	no	ND	no	ND	NO
YLR252W  	YLR252W   				NO	0.981	0.994	0.988	no	1.010	0.992	1.001	no	0.977	no	1.027	NO
YLR253W  	YLR253W   	biological_process unknown	molecular_function unknown	mitochondrion	NO	0.984	1.000	0.992	no	1.012	1.009	1.011	no	0.964	no	1.017	NO
YLR254C  	YLR254C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.990	1.003	0.998	no	1.017	1.018	1.018	no	0.980	no	1.035	NO
YLR255C  	YLR255C   				NO	0.998	1.007	1.003	no	1.015	1.008	1.012	no	0.979	no	1.029	NO
YLR257W  	YLR257W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.971	0.999	0.985	no	1.003	1.011	1.006	no	0.951	no	0.989	NO
YLR258W  	GSY2      	glycogen metabolism	glycogen (starch) synthase activity	cytoplasm	NO	0.995	0.998	0.996	no	1.015	1.005	1.010	no	0.975	no	1.021	NO
YLR259C  	HSP60     	protein folding*	heat shock protein activity	mitochondrion	YES	1.003	0.998	1.001	no	ND	ND	ND	Essential	0.981	no	ND	Essential
YLR260W  	LCB5      	response to heat*	D-erythro-sphingosine kinase activity	membrane fraction*	NO	0.988	0.999	0.994	no	0.735	0.734	0.735	yes	0.963	no	0.835	YES
YLR261C  	YLR261C   	protein-vacuolar targeting	molecular_function unknown	cellular_component unknown	NO	0.990	1.005	0.997	no	0.870	0.832	0.854	yes	1.009	no	0.685	YES
YLR262C  	YPT6      	intracellular protein transport*	GTPase activity	Golgi apparatus	NO	0.982	1.004	0.993	no	0.888	0.824	0.867	yes	0.969	no	0.696	YES
YLR262C-A	YLR262C-A 	biological_process unknown	molecular_function unknown	cytoplasm*		0.995	1.000	0.997	no	1.016	1.006	1.011	no	1.013	no	1.024	NO
YLR263W  	RED1      	synaptonemal complex formation	molecular_function unknown	synaptonemal complex	NO	0.998	1.004	1.001	no	1.014	1.006	1.010	no	0.987	no	1.028	NO
YLR264W  	RPS28B    	protein biosynthesis	structural constituent of ribosome	cytosolic small ribosomal subunit (sensu Eukarya)	NO	1.003	0.973	0.988	no	0.923	0.832	0.887	yes	0.987	no	1.001	NO
YLR265C  	NEJ1      	DNA repair*	molecular_function unknown	nucleus	NO	0.986	1.002	0.994	no	1.012	1.010	1.011	no	0.950	no	1.020	NO
YLR266C  	YLR266C   	response to stress*	DNA binding*	nucleus	NO	1.006	0.996	1.001	no	1.011	1.012	1.012	no	0.978	no	1.019	NO
